Исключения	Причина
AssertionError		Вызывается при сбое assert оператора.
AttributeError		Возникает, когда не удается присвоить атрибут или ссылку.
EOFError		Вызывается, когда input()функция достигает состояния конца файла.
FloatingPointError	Вызывается при сбое операции с числами имеющими десятичное значение.
GeneratorExit		при close()вызове метода генератора.
ImportError		Вызывается, когда импортированный модуль не найден.
IndexError		когда индекс последовательности находится вне диапазона.
KeyError		Возникает, когда ключ не найден в словаре.
KeyboardInterrupt	При нажатии на клавишу прерывания
MemoryError		Вызывается, когда в операции заканчивается память.
NameError		Вызывается, когда переменная не найдена в локальной или глобальной области видимости.
NotImplementedError	При работе с абстрактными методами
OSError			Когда программа вызывает связанную с ОС ошибку
OverflowError		Возникает, когда результат арифметической операции слишком велик
ReferenceError		Вызывается, когда слабый ссылочный прокси-сервер используется для доступа к собранному мусором референту.
RuntimeError		Возникает, когда ошибка не попадает ни под какую другую категорию.
StopIteration		Вызывается функцией next(), которая говорит, что больше нет элементов
SyntaxError		Синтаксическая ошибка
IndentationError	При нарушении отступа
TabError		При нарушении отступов
SystemError		Ошибка с интепретатором
SystemExit		Функция sys.exit()
TypeError		Ошибка с типами данных
UnboundLocalError	Вызывается, когда делается ссылка на локальную переменную в функции или методе, но ни одно значение не было привязано к этой переменной.
UnicodeError		Ошибка кодировки
UnicodeEncodeError	Ошибка кодировки
UnicodeDecodeError	Ошибка декодирования
UnicodeTranslateError	Ошибка кодировки
ValueError		Когда функция получает аргумент с неправильным значением
ZERODIVISIONERROR	ПРИ ДЕЛЕНИИ НА НОЛЬ
